Method,K-Value,Silhouette Score
NR,2,0.3308466279566006
PCA,2,0.7147929252703199
K-PCA,2,0.7600928207442976
RP,2,0.5842548568043702
t-SNE,2,0.6175021529197693
NR,3,0.33154621866375744
PCA,3,0.7223479178113281
K-PCA,3,0.7105513754820567
RP,3,0.5883342596169289
t-SNE,3,0.5733533501625061
NR,4,0.2936370966084661
PCA,4,0.7245299034384861
K-PCA,4,0.6435434771594911
RP,4,0.5116765691418338
t-SNE,4,0.564851701259613
NR,5,0.3295673696412782
PCA,5,0.5947611210587757
K-PCA,5,0.5676711123024303
RP,5,0.5268703678104101
t-SNE,5,0.5456657409667969
NR,6,0.3075253107836872
PCA,6,0.5634933508885408
K-PCA,6,0.5440920080015995
RP,6,0.5219197693029691
t-SNE,6,0.5417799353599548
NR,2,0.3308466279566006
PCA,2,0.5890911726262371
K-PCA,2,0.5139152267768763
RP,2,0.5849452128857503
t-SNE,2,0.412191241979599
NR,3,0.33154621866375744
PCA,3,0.6004844858497496
K-PCA,3,0.49671114816692785
RP,3,0.5884231967521
t-SNE,3,0.41955363750457764
NR,4,0.2936370966084661
PCA,4,0.6025606480270009
K-PCA,4,0.49701387350591353
RP,4,0.5954839543216173
t-SNE,4,0.4058714807033539
NR,5,0.3295673696412782
PCA,5,0.4755609343879467
K-PCA,5,0.4492285724266809
RP,5,0.5970322479143456
t-SNE,5,0.38824543356895447
NR,6,0.3075253107836872
PCA,6,0.47465674334511965
K-PCA,6,0.4550548894523305
RP,6,0.4750103391649647
t-SNE,6,0.3804810643196106
NR,2,0.3308466279566006
PCA,2,0.4597147045362096
K-PCA,2,0.4139348913888042
RP,2,0.5389245053694404
t-SNE,2,0.3811987638473511
NR,3,0.33154621866375744
PCA,3,0.4672899463307876
K-PCA,3,0.3706740320998126
RP,3,0.5400366489988103
t-SNE,3,0.32713985443115234
NR,4,0.2936370966084661
PCA,4,0.4151540252813684
K-PCA,4,0.3518784950848782
RP,4,0.43824124226756717
t-SNE,4,0.29298290610313416
NR,5,0.3295673696412782
PCA,5,0.41715441791726543
K-PCA,5,0.36385906665030715
RP,5,0.4259684445292016
t-SNE,5,0.3083633780479431
NR,6,0.3075253107836872
PCA,6,0.38111328181607423
K-PCA,6,0.3646739546906626
RP,6,0.4259105308912519
t-SNE,6,0.3172425329685211
